city,year,month,CO
D,2016,1,3.58
D,2016,2,2.84
D,2016,3,3.28
D,2016,4,2.9
D,2016,5,2.22
D,2016,6,1.86
D,2016,7,2.28
D,2016,8,2.28
D,2016,9,2.31
D,2016,10,4.54
D,2016,11,6.22
D,2016,12,6.44
D,2017,1,4.42
D,2017,2,3.8
D,2017,3,3.2
D,2017,4,3.27
D,2017,5,3.87
D,2017,6,2.61
D,2017,10,4.38
D,2017,11,5.62
D,2017,12,4.4
D,2017,9,2.92
D,2017,8,1.96
D,2018,1,3.9
D,2018,2,4.45
D,2018,3,3.27
D,2018,4,13.65
D,2018,5,32.87
D,2018,6,1.96
D,2018,8,2.42
D,2018,9,3.71
D,2018,10,5.75
D,2018,11,4.86
D,2018,12,5.91
D,2018,7,1.43
D,2019,1,4.89
D,2019,2,5.27
D,2019,3,3.79
D,2019,4,5.21
D,2019,5,5.03
D,2019,6,3.36
D,2019,7,3.26
D,2019,8,3.55
D,2019,9,2.01
D,2019,10,3.81
D,2019,11,5.36
D,2019,12,6.72
D,2020,1,6.84
D,2020,2,4.65
D,2020,3,2.49
D,2020,4,4.8
D,2020,5,4.2
D,2020,6,3.52
D,2020,7,3.4
D,2020,8,3.82
D,2020,9,4.65
D,2020,10,4.69
D,2020,11,5.22
D,2020,12,5.52
D,2021,1,4.57
