city,year,month,SO2
D,2016,1,38.65
D,2016,2,63.04
D,2016,3,52.55
D,2016,4,80.25
D,2016,5,23.51
D,2016,6,18.58
D,2016,7,21.69
D,2016,8,50.14
D,2016,9,20.73
D,2016,10,86.75
D,2016,11,37.66
D,2016,12,27.09
D,2017,1,38.55
D,2017,2,43.74
D,2017,3,37.97
D,2017,4,63.5
D,2017,5,87.54
D,2017,6,17.25
D,2017,10,45.51
D,2017,11,28.24
D,2017,12,36.31
D,2018,1,33.11
D,2018,2,22.85
D,2018,3,34.39
D,2018,4,39.95
D,2018,5,23.96
D,2018,6,15.77
D,2018,8,17.71
D,2018,9,25.41
D,2018,10,37.12
D,2018,11,40.28
D,2018,12,27.94
D,2018,7,16.13
D,2019,1,28.46
D,2019,2,34.43
D,2019,3,38.24
D,2019,4,48.16
D,2019,5,47.1
D,2019,6,32.8
D,2019,7,20.89
D,2019,8,19.38
D,2019,9,14.23
D,2019,10,25.62
D,2019,11,27.79
D,2019,12,25.89
D,2020,1,41.49
D,2020,2,29.98
D,2020,3,29.48
D,2020,4,30.52
D,2020,5,35.83
D,2020,6,23.21
D,2020,7,21.67
D,2020,8,27.9
D,2020,9,58.29
D,2020,10,45.09
D,2020,11,37.15
D,2020,12,25.4
D,2021,1,37.4
