city,year,month,pm10
D,2016,1,847.84
D,2016,2,483.96
D,2016,3,409
D,2016,4,580.17
D,2016,5,522.51
D,2016,6,601.38
D,2016,7,635.33
D,2016,8,605.5
D,2016,9,547.23
D,2016,10,855.71
D,2016,11,974.92
D,2016,12,827.79
D,2017,1,611.57
D,2017,2,688.26
D,2017,3,876.14
D,2017,4,759.61
D,2017,5,687.88
D,2017,6,697.83
D,2017,10,715.79
D,2017,11,871.04
D,2017,12,757.35
D,2017,9,187.9
D,2017,8,72.29
D,2018,1,769
D,2018,2,669.3
D,2018,3,446.91
D,2018,4,567.78
D,2018,5,487.32
D,2018,6,866.33
D,2018,8,369.67
D,2018,9,364.92
D,2018,10,655.63
D,2018,11,781.34
D,2018,12,710.31
D,2018,7,222.4
D,2019,1,649.78
D,2019,2,531.48
D,2019,3,401.28
D,2019,4,454.47
D,2019,5,557.96
D,2019,6,384.26
D,2019,7,483.64
D,2019,8,266.72
D,2019,9,253.24
D,2019,10,628.93
D,2019,11,722.47
D,2019,12,706.69
D,2020,1,561.03
D,2020,2,524.14
D,2020,3,351.49
D,2020,4,196.75
D,2020,5,293.93
D,2020,6,421.47
D,2020,7,205.07
D,2020,8,150.78
D,2020,9,293.82
D,2020,10,581.21
D,2020,11,815.56
D,2020,12,608.99
D,2021,1,652.53
